last_name, first_name,player_id,year,xba,exit_velocity_avg,barrel_batted_rate,
Abreu, Jose,547989,2016,.276,89.7,7.9,
Suarez, Eugenio,553993,2016,.233,86.6,6.3,
Polanco, Gregory,570256,2016,.269,89.9,6,
Schoop, Jonathan,570731,2016,.248,87.4,6.9,
Arenado, Nolan,571448,2016,.257,89.5,9,
Gennett, Scooter,571697,2016,.225,86.9,3.9,
Lamb, Jake,571875,2016,.243,91.3,11.5,
Myers, Wil,571976,2016,.251,88.6,7,
Piscotty, Stephen,572039,2016,.260,88.3,8.6,
Seager, Kyle,572122,2016,.287,90.4,9,
Carpenter, Matt,572761,2016,.283,90.7,11.3,
Dickerson, Corey,572816,2016,.232,89,11.1,
Dozier, Brian,572821,2016,.231,88.1,8.3,
Iglesias, Jose,578428,2016,.245,83.6,0.7,
Hechavarria, Adeiny,588751,2016,.262,88.1,1.1,
Bryant, Kris,592178,2016,.264,89.3,11.7,
Machado, Manny,592518,2016,.289,90.3,9.3,
Realmuto, J.T.,592663,2016,.264,88.6,3.9,
Yelich, Christian,592885,2016,.298,92.6,9.7,
Bogaerts, Xander,593428,2016,.254,89,5.3,
Calhoun, Kole,594777,2016,.267,89.8,6.2,
Duvall, Adam,594807,2016,.246,88.6,12.1,
Eaton, Adam,594809,2016,.259,89,3.1,
Lindor, Francisco,596019,2016,.285,88.7,4.1,
Odor, Rougned,596059,2016,.246,89.6,7.8,
Cuthbert, Cheslor,596144,2016,.231,89.3,2.4,
Franco, Maikel,596748,2016,.257,89.5,6.9,
Bradley Jr. Jr., Jackie,598265,2016,.242,90.3,8.6,
Betts, Mookie,605141,2016,.275,89.7,5.2,
Panik, Joe,605412,2016,.247,86.3,4.5,
Pillar, Kevin,607680,2016,.253,87.1,3,
Ramirez, Jose,608070,2016,.287,88.4,3,
Russell, Addison,608365,2016,.229,87.6,9.3,
Seager, Corey,608369,2016,.302,91.1,8.3,
Mazara, Nomar,608577,2016,.261,88,6.8,
Garcia, Adonis,611177,2016,.276,89,5.2,
Correa, Carlos,621043,2016,.280,91,7.7,
Tomas, Yasmany,630111,2016,.272,90.6,10.6,
Hunter, Torii,116338,2015,.230,88.5,5,
Ortiz, David,120074,2015,.299,93,13.1,
Rodriguez, Alex,121347,2015,.245,91.3,10.9,
Ramirez, Aramis,133380,2015,.237,87.4,5.6,
Beltre, Adrian,134181,2015,.293,89.5,5.5,
Beltran, Carlos,136860,2015,.269,90.6,5.8,
Rollins, Jimmy,276519,2015,.224,85.8,2.5,
Pujols, Albert,405395,2015,.263,90.7,7.7,
Byrd, Marlon,407781,2015,.227,86.4,8.5,
Mauer, Joe,408045,2015,.274,89.5,3.7,
Cabrera, Miguel,408234,2015,.318,93.8,10.6,
Gonzalez, Adrian,408236,2015,.273,88.7,8.1,
Phillips, Brandon,408252,2015,.277,86.3,2.3,
Reyes, Jose,408314,2015,.235,84.6,0.2,
Peralta, Jhonny,425509,2015,.263,88.1,4.4,
Choo, Shin-Soo,425783,2015,.250,90.9,8.4,
Molina, Yadier,425877,2015,.232,86.4,2.3,
Fielder, Prince,425902,2015,.274,90.9,6.4,
Cano, Robinson,429664,2015,.290,91,7.3,
Encarnacion, Edwin,429665,2015,.262,90,10,
Howard, Ryan,429667,2015,.264,91.3,11.7,
Bautista, Jose,430832,2015,.257,92,12.6,
Jones, Adam,430945,2015,.261,88.2,8.9,
Aybar, Erick,430947,2015,.262,85.7,0.9,
Martin, Russell,431145,2015,.231,89.2,8.2,
Granderson, Curtis,434158,2015,.251,89.4,8.1,
Pagan, Angel,434636,2015,.241,86.3,0.7,
Morales, Kendrys,434778,2015,.277,92,8.9,
Kinsler, Ian,435079,2015,.268,86.1,2.7,
McCann, Brian,435263,2015,.215,89.5,5.3,
Walker, Neil,435522,2015,.248,88.9,4.8,
Desmond, Ian,435622,2015,.214,90.9,6.9,
Cruz Jr., Nelson,443558,2015,.280,92.6,14.1,
Trumbo, Mark,444432,2015,.248,92,9.8,
Peralta, David,444482,2015,.275,91.6,8,
Escobar, Alcides,444876,2015,.254,84.6,0.9,
Prado, Martin,445988,2015,.270,89,2.3,
Duda, Lucas,446263,2015,.248,92,11.6,
Longoria, Evan,446334,2015,.258,89.6,8.5,
Davis, Chris,448801,2015,.259,92,17.3,
Zobrist, Ben,450314,2015,.256,88.6,3.6,
Fowler, Dexter,451594,2015,.227,87.2,4.5,
Headley, Chase,452104,2015,.256,86.8,5.1,
Lind, Adam,452252,2015,.242,89.5,7.2,
Cabrera, Asdrubal,452678,2015,.223,88.3,5.4,
